_id,Sl. No,Name of District,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%),Class
1,1,Ariyalur,15991.53,18507.79,2253.06,1715.07,38467.45,3537.1,34930.35,15543.8,48.8,787.55,16380.15,1089.71,18297.15,46.89,A
2,2,Chengalpattu,18729.64,37016.89,6.05,2540.14,58292.72,5657.8,52634.92,34539.94,315.5,873.86,35729.3,1583.64,16543.6,67.88,S
3,3,Chennai,8624.4,1099.76,0,862.01,10586.17,1058.67,9668.1,258.5,1189.5,11410.14,12858.12,13715.11,968.88,133,O
4,4,Coimbatore,21472.12,21842.95,3350.15,9493.68,56158.9,5416.38,50742.52,39216.22,1477.17,2160.92,42854.29,5872.87,12373.82,84.45,S
5,5,Cuddalore,35697.12,31725.27,19219.5,12167.88,98809.77,9567.69,89242.08,64061.82,2040.69,1594.12,67696.64,3350.72,25450.59,75.86,S
6,6,Dharmapuri,18290.64,10462.89,2650.47,15648.57,47052.57,4505.26,42547.31,45406.08,33.9,2116.61,47556.59,2844.97,4086.02,111.77,O
7,7,Dindigul,15204.1,26194.79,2556.12,10722.9,54677.91,5467.8,49210.1,63041.67,308.15,1384.04,64733.83,3951.82,7382.38,131.55,O
8,8,Erode,14457.15,43799.58,3603.41,9797.29,71657.43,6945.72,64711.72,51949.8,696.99,650.69,53297.51,18345.24,11696.07,82.36,S
9,9,Kallakkurichi,29045.14,27189.26,12186.08,9057.16,77477.64,7747.81,69729.82,49053.15,36.8,694.52,49784.49,1483.91,19860.72,71.4,S
10,10,Kancheepuram,17169.22,27451.58,0,6606.98,51227.78,5006.93,46220.85,22771.29,630.94,616.26,24018.49,1045.6,22137.7,51.96,A
11,11,Kanniyakumari,6514.65,20188.14,1922.43,4688.04,33313.26,3261.98,30051.29,3684.1,222.4,1173.36,5079.87,1207.82,25402.33,16.9,A
12,12,Karur,11572.89,22028.63,1543.66,3189.91,38335.09,3742.69,34592.4,32482.04,214.56,419.46,33116.06,1088.95,9554.94,95.73,C
13,13,Krishnagiri,18293.09,15404.69,2887.68,11250.5,47835.96,4252.19,43583.78,39881.19,1037.33,1665.56,42584.07,2588.29,7761.85,97.71,C
14,14,Madurai,22864.48,29906.83,3160.8,16640.81,72572.92,6742.34,67414.94,41770.23,3969.52,2801.85,48541.63,4247.19,19818.55,72,S
15,15,Nagapattinam,7011.65,28228.61,137.65,690.03,36067.94,3606.78,32461.16,43726.76,0,673.6,44400.37,1566.86,1622.1,136.78,O
16,16,Namakkal,20377.37,26230.71,4628.72,7337.48,58574.28,5792.97,52781.31,57716.73,88.5,3501.97,61307.2,4212.61,7876.01,116.15,O
17,17,Perambalur,9005.58,12695.95,766.27,3216.72,25684.52,2568.47,23116.05,25801.2,32.9,377.92,26212.01,775.47,7478.33,113.39,O
18,18,Pudukkottai,35911.24,52075.76,4381.91,3479.07,95847.98,9300.76,86547.22,37447.02,306.4,945.09,38698.49,1919.74,46899.05,44.71,S
19,19,Ramanathapuram,25840.2,40086.62,4004.34,6664.6,76595.76,7659.57,68936.19,5582.64,0,249.86,5832.53,1255.95,62097.57,8.46,A
20,20,Ranipet,16397.84,5439.38,2626.17,3919.12,28382.51,2838.3,25544.21,20068.7,943.65,2210.16,23222.5,2501.55,3898.54,90.91,C
21,21,Salem,21584.77,28644.25,3963.44,6016.95,60209.41,6021.02,54188.4,67655.57,34.2,507.84,68197.6,2684.83,10441.97,125.85,O
22,22,Sivaganga,28193.57,35233.47,2800.34,1237.89,67465.27,6306.97,61158.3,15096.27,227.7,1412.48,16736.46,7195.8,38638.52,27.37,A
23,23,Tenkasi,10031.69,35915.06,3620.27,5316.71,54883.73,5441.87,49441.84,38634.63,180.2,748.6,39563.44,2170.55,29213.16,80.02,S
24,24,Thanjavur,64706.03,35599.83,3231.72,6965.95,110503.53,10809.53,99694.01,96020.49,132.6,3506.24,99659.33,5039.01,12746.47,99.97,C
25,25,The Nilgiris,8528,363.56,1279.14,161.74,10332.44,1033.25,9299.19,629,52.4,183.05,864.44,2762.58,7345.79,9.3,A
26,26,Theni,7189.79,13612.59,4269.81,3426.08,28498.27,2760.57,25737.7,18949.6,90.52,663.95,19704.06,876.84,6304.68,76.56,S
27,27,Thiruvallur,53878.02,23890.5,31.14,7037.62,84837.28,7972.9,76864.38,39022.24,1510.96,1893.97,42427.17,6684.12,30239.23,55.2,A
28,28,Thiruvarur,9332.33,5867.87,387.3,1582.33,17169.83,1717,15452.83,10459.1,19.95,1981.08,12460.13,3867.89,4759.85,80.63,S
29,29,Thoothukkudi,20286.98,29222.51,3504.12,7491.96,60505.57,5925.32,54580.27,18782.28,331.5,430.72,19544.5,1501.34,35389.88,35.81,A
30,30,Tiruchirappalli,19721.63,49902.63,1780.69,4857.25,76262.2,7487.36,68774.83,51064.06,42.98,2796.77,53903.81,11655.51,26208.69,78.38,S
31,31,Tirunelveli,29901.35,34873.07,6575.94,8370.04,79720.4,7867.4,71853,32164.6,32,706.15,32902.78,1201.21,39965.04,45.79,A
32,32,Tirupathur,4249.81,5957.06,439.07,1286.18,11932.12,1193.22,10738.9,14842.73,100.22,880.02,15822.99,1934.81,1198.23,147.34,O
33,33,Tiruppur,16966.53,24782.96,3973.39,9131.96,54854.84,5387.38,49467.46,41350.3,573.72,544.28,42468.2,3104.66,8315.84,85.85,S
34,34,Tiruvannamalai,27794.27,66325.38,735.79,31976.19,126831.63,10888.19,115943.44,93948.56,707.1,854.98,95510.64,3403.16,20980.79,82.38,S
35,35,Vellore,9209.86,9815.4,1973.51,314.09,21312.86,1914.34,19398.52,20769.67,324,1226.73,22320.41,2490.62,1579.22,115.06,O
36,36,Viluppuram,25415.1,46556.59,17513.53,13532.27,103017.49,10189.52,92827.97,81582.54,19.93,1493.54,83096.03,3327.99,12754.5,89.52,S
37,37,Virudhunagar,16951.04,32126.15,5311.94,10647.67,65036.8,6104.51,58932.29,33310.71,115.49,493.12,33919.37,1714.69,24689.82,57.56,A
